Campaign_ID,Company,Campaign_Type,Target_Audience,Gender,Age,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
183,TechCorp,Influencer,Women 35-44,Women,35-44,15 days,Instagram,0.06,18350,3.2,New York,Spanish,372,3266,4,Health & Wellness,07/02/21
184,DataTech Solutions,Social Media,Men 18-24,Men,18-24,45 days,Email,0.06,12315,3.97,Chicago,Spanish,505,4099,7,Fashionistas,07/03/21
185,NexGen Systems,Influencer,Men 25-34,Men,25-34,15 days,Instagram,0.14,17598,7.27,Chicago,Mandarin,961,8475,7,Outdoor Adventurers,07/04/21
186,TechCorp,Email,Women 35-44,Women,35-44,30 days,Instagram,0.05,19545,2.57,Houston,German,209,1917,1,Health & Wellness,07/05/21
187,NexGen Systems,Email,Men 25-34,Men,25-34,60 days,Email,0.13,14231,6.28,Chicago,Mandarin,312,8509,3,Health & Wellness,07/06/21
188,Alpha Innovations,Influencer,Women 25-34,Women,25-34,30 days,Instagram,0.11,15162,7.8,Chicago,German,360,6030,8,Tech Enthusiasts,07/07/21
189,DataTech Solutions,Social Media,Women 25-34,Women,25-34,15 days,Email,0.12,15403,6.21,Houston,English,542,6792,6,Foodies,07/08/21
190,Innovate Industries,Influencer,All Ages,All,All Ages,15 days,Email,0.06,5363,5.46,Chicago,German,369,8511,8,Tech Enthusiasts,07/09/21
191,DataTech Solutions,Social Media,Women 35-44,Women,35-44,60 days,Website,0.12,13903,2.46,Chicago,German,461,9733,9,Tech Enthusiasts,07/10/21
192,TechCorp,Influencer,Men 25-34,Men,25-34,45 days,Facebook,0.12,14271,5.64,New York,Mandarin,842,2301,1,Health & Wellness,07/11/21
193,DataTech Solutions,Social Media,Men 25-34,Men,25-34,30 days,Google Ads,0.05,13744,4.7,Miami,German,743,5155,5,Fashionistas,07/12/21
194,NexGen Systems,Email,All Ages,All,All Ages,15 days,Google Ads,0.1,6093,4.28,New York,Mandarin,423,1340,7,Foodies,13/07/21
195,DataTech Solutions,Email,All Ages,All,All Ages,45 days,Email,0.07,5272,3.62,Chicago,Spanish,939,9590,9,Foodies,14/07/21
196,DataTech Solutions,Display,Women 35-44,Women,35-44,30 days,YouTube,0.02,6208,7.31,Houston,Mandarin,257,9939,8,Health & Wellness,15/07/21
197,Innovate Industries,Influencer,Women 25-34,Women,25-34,45 days,Email,0.1,15437,3.72,Los Angeles,English,683,4212,6,Tech Enthusiasts,16/07/21
198,DataTech Solutions,Display,Men 18-24,Men,18-24,15 days,Instagram,0.01,16368,4.37,Los Angeles,Mandarin,433,8942,5,Tech Enthusiasts,17/07/21
199,Innovate Industries,Influencer,Men 18-24,Men,18-24,45 days,Email,0.14,10939,4.79,Miami,Spanish,146,1404,3,Outdoor Adventurers,18/07/21
200,TechCorp,Influencer,Men 25-34,Men,25-34,30 days,Google Ads,0.02,16312,2.63,Chicago,English,117,4406,7,Outdoor Adventurers,19/07/21
201,Innovate Industries,Search,Women 35-44,Women,35-44,60 days,Facebook,0.09,9518,4.22,Houston,German,324,8445,6,Tech Enthusiasts,20/07/21
202,DataTech Solutions,Influencer,Women 35-44,Women,35-44,45 days,Instagram,0.13,16258,5.83,Chicago,French,317,2305,10,Foodies,21/07/21
203,DataTech Solutions,Display,All Ages,All,All Ages,30 days,Email,0.1,7176,7.27,Los Angeles,Spanish,472,7157,10,Tech Enthusiasts,22/07/21
204,TechCorp,Influencer,Men 18-24,Men,18-24,45 days,Google Ads,0.15,14405,7.51,Los Angeles,French,896,7502,9,Foodies,23/07/21
205,DataTech Solutions,Influencer,Women 35-44,Women,35-44,45 days,Email,0.11,13293,7.49,Chicago,Mandarin,132,1159,10,Foodies,24/07/21
206,Innovate Industries,Email,Men 18-24,Men,18-24,15 days,Website,0.12,14318,3.69,Miami,Spanish,210,2135,3,Tech Enthusiasts,25/07/21
207,TechCorp,Social Media,Women 25-34,Women,25-34,60 days,Instagram,0.05,8772,6.29,New York,English,209,6176,6,Health & Wellness,26/07/21
208,DataTech Solutions,Display,Women 25-34,Women,25-34,45 days,Google Ads,0.11,12864,2.87,Los Angeles,English,280,2676,7,Health & Wellness,27/07/21
209,NexGen Systems,Display,All Ages,All,All Ages,15 days,Google Ads,0.11,17562,3.66,Chicago,English,308,6903,7,Health & Wellness,28/07/21
210,Innovate Industries,Display,All Ages,All,All Ages,45 days,Email,0.08,17461,2.81,Los Angeles,Mandarin,554,8096,10,Health & Wellness,29/07/21
211,DataTech Solutions,Search,Women 35-44,Women,35-44,30 days,Website,0.08,19366,7.94,Chicago,Spanish,868,8919,10,Health & Wellness,30/07/21
212,NexGen Systems,Social Media,All Ages,All,All Ages,30 days,Instagram,0.02,6907,2.39,Houston,French,376,1503,5,Foodies,31/07/21
213,DataTech Solutions,Social Media,Women 25-34,Women,25-34,45 days,Email,0.15,16540,2.72,Houston,Mandarin,264,3516,2,Foodies,08/01/21
214,TechCorp,Display,All Ages,All,All Ages,60 days,Email,0.05,5020,7.67,Chicago,Spanish,773,3130,5,Health & Wellness,08/02/21
215,Alpha Innovations,Influencer,Women 25-34,Women,25-34,45 days,YouTube,0.06,13697,2.79,Los Angeles,Spanish,999,2557,3,Health & Wellness,08/03/21
216,Alpha Innovations,Social Media,Women 25-34,Women,25-34,30 days,Email,0.14,19308,4.39,New York,Mandarin,726,6296,5,Health & Wellness,08/04/21
217,NexGen Systems,Search,Women 35-44,Women,35-44,30 days,Google Ads,0.11,13185,6.06,Houston,English,614,9971,10,Fashionistas,08/05/21
218,DataTech Solutions,Email,Men 18-24,Men,18-24,15 days,Instagram,0.05,15880,5.85,Los Angeles,Spanish,967,9549,5,Tech Enthusiasts,08/06/21
219,TechCorp,Search,Women 25-34,Women,25-34,15 days,Email,0.08,13524,3.91,Los Angeles,Spanish,167,9596,10,Foodies,08/07/21
220,Innovate Industries,Influencer,All Ages,All,All Ages,15 days,Email,0.03,10536,8,New York,Mandarin,924,3584,10,Fashionistas,08/08/21
221,Alpha Innovations,Email,Men 18-24,Men,18-24,15 days,Email,0.02,5941,6.73,Miami,French,715,8580,2,Tech Enthusiasts,08/09/21
222,Alpha Innovations,Email,Men 25-34,Men,25-34,15 days,Instagram,0.09,12239,2.98,Los Angeles,Mandarin,198,8847,2,Foodies,08/10/21
223,DataTech Solutions,Search,Women 25-34,Women,25-34,30 days,Facebook,0.04,11973,5.36,Los Angeles,Spanish,240,5611,6,Fashionistas,08/11/21
224,TechCorp,Display,Women 35-44,Women,35-44,15 days,Google Ads,0.1,5697,7.76,Miami,German,285,3131,1,Foodies,08/12/21
225,DataTech Solutions,Email,Men 25-34,Men,25-34,30 days,Instagram,0.12,6388,6.8,Houston,English,159,4073,7,Outdoor Adventurers,13/08/21
226,NexGen Systems,Influencer,Women 35-44,Women,35-44,60 days,Facebook,0.15,10330,2.83,Houston,French,153,5056,1,Foodies,14/08/21
227,Innovate Industries,Email,Men 18-24,Men,18-24,45 days,Instagram,0.08,5429,6.93,Los Angeles,English,423,7289,1,Foodies,15/08/21
228,TechCorp,Influencer,Men 25-34,Men,25-34,45 days,Google Ads,0.15,16318,5.39,Chicago,German,660,1268,1,Health & Wellness,16/08/21
229,Innovate Industries,Search,Men 25-34,Men,25-34,60 days,Website,0.08,10475,6.46,Los Angeles,Mandarin,111,8357,6,Tech Enthusiasts,17/08/21
230,Alpha Innovations,Search,Women 35-44,Women,35-44,30 days,Instagram,0.02,14610,5.38,Los Angeles,French,820,5111,4,Fashionistas,18/08/21
231,DataTech Solutions,Email,Women 35-44,Women,35-44,15 days,Facebook,0.1,9636,5.08,New York,German,935,6946,2,Fashionistas,19/08/21
232,NexGen Systems,Email,Women 25-34,Women,25-34,60 days,Google Ads,0.05,11450,2.89,New York,Spanish,685,7667,6,Fashionistas,20/08/21
233,DataTech Solutions,Email,Women 35-44,Women,35-44,60 days,Facebook,0.02,14372,4.26,Houston,Spanish,703,6178,2,Tech Enthusiasts,21/08/21
234,Innovate Industries,Search,Men 25-34,Men,25-34,60 days,Website,0.04,15105,5.61,Chicago,German,366,8306,1,Fashionistas,22/08/21
235,Alpha Innovations,Display,Men 25-34,Men,25-34,15 days,Facebook,0.07,10319,7.47,Chicago,German,409,4851,6,Outdoor Adventurers,23/08/21
236,TechCorp,Search,Women 25-34,Women,25-34,45 days,Google Ads,0.04,5220,4.79,New York,French,662,8586,2,Fashionistas,24/08/21
237,NexGen Systems,Search,Men 18-24,Men,18-24,30 days,Email,0.14,15820,5.12,Chicago,German,240,6283,9,Health & Wellness,25/08/21
238,Innovate Industries,Display,Men 18-24,Men,18-24,60 days,Website,0.01,18076,3.13,New York,English,320,5064,6,Fashionistas,26/08/21
239,Innovate Industries,Social Media,Women 25-34,Women,25-34,60 days,Email,0.08,18074,5.99,Chicago,German,587,4909,5,Outdoor Adventurers,27/08/21
240,Alpha Innovations,Email,Women 35-44,Women,35-44,60 days,Google Ads,0.1,6676,5.75,Los Angeles,Spanish,119,6702,7,Tech Enthusiasts,28/08/21
241,Innovate Industries,Display,Women 25-34,Women,25-34,45 days,Email,0.06,19928,4.24,Miami,French,116,3794,4,Foodies,29/08/21
242,NexGen Systems,Search,Women 25-34,Women,25-34,60 days,Google Ads,0.11,14322,5.66,New York,Spanish,872,8759,2,Fashionistas,30/08/21
243,Alpha Innovations,Influencer,Men 18-24,Men,18-24,60 days,Website,0.1,19463,3.02,Miami,Mandarin,970,8060,3,Tech Enthusiasts,31/08/21
244,Alpha Innovations,Influencer,Men 25-34,Men,25-34,45 days,Google Ads,0.13,12616,5.23,New York,German,864,1054,6,Fashionistas,09/01/21
245,DataTech Solutions,Influencer,Women 25-34,Women,25-34,30 days,Website,0.12,14856,2.05,Chicago,Mandarin,597,2672,3,Fashionistas,09/02/21
246,DataTech Solutions,Display,Men 18-24,Men,18-24,15 days,Instagram,0.14,19347,3.49,Houston,French,993,5113,2,Tech Enthusiasts,09/03/21
247,DataTech Solutions,Social Media,Men 25-34,Men,25-34,15 days,Google Ads,0.15,14124,6.53,New York,Spanish,967,4832,8,Health & Wellness,09/04/21
248,DataTech Solutions,Social Media,Women 25-34,Women,25-34,45 days,Google Ads,0.15,9761,3.26,Chicago,Mandarin,350,4327,10,Outdoor Adventurers,09/05/21
249,DataTech Solutions,Social Media,Women 35-44,Women,35-44,30 days,Google Ads,0.1,5575,3.42,Houston,English,324,2310,6,Foodies,09/06/21
250,Alpha Innovations,Display,All Ages,All,All Ages,15 days,Email,0.13,15120,5.25,Chicago,Mandarin,897,1928,7,Fashionistas,09/07/21
251,Innovate Industries,Display,Women 25-34,Women,25-34,45 days,Website,0.1,16108,2.15,New York,French,162,7983,7,Fashionistas,09/08/21
252,Innovate Industries,Display,Men 18-24,Men,18-24,60 days,Email,0.03,6459,5.33,Houston,Mandarin,949,7441,4,Outdoor Adventurers,09/09/21
253,Alpha Innovations,Search,All Ages,All,All Ages,30 days,Email,0.08,16937,4.24,Houston,French,154,7455,9,Tech Enthusiasts,09/10/21
254,Innovate Industries,Influencer,Women 35-44,Women,35-44,60 days,Facebook,0.07,11092,4.55,Los Angeles,English,735,7035,7,Foodies,09/11/21
255,Innovate Industries,Social Media,Women 35-44,Women,35-44,30 days,Facebook,0.05,6772,5.55,New York,Spanish,341,9370,2,Fashionistas,09/12/21
256,NexGen Systems,Influencer,Men 25-34,Men,25-34,30 days,YouTube,0.08,7331,2.27,Miami,Spanish,222,7421,7,Health & Wellness,13/09/21
257,Innovate Industries,Display,Men 25-34,Men,25-34,45 days,YouTube,0.02,16189,6.92,New York,German,841,9783,7,Foodies,14/09/21
258,Innovate Industries,Display,Women 35-44,Women,35-44,30 days,Instagram,0.06,11003,7.63,Miami,Mandarin,986,6349,3,Fashionistas,15/09/21
259,NexGen Systems,Social Media,Men 25-34,Men,25-34,15 days,Google Ads,0.07,7726,7.64,Houston,German,314,4021,4,Tech Enthusiasts,16/09/21
260,Innovate Industries,Search,Men 25-34,Men,25-34,30 days,Website,0.03,15424,2.56,New York,English,838,9611,6,Tech Enthusiasts,17/09/21
261,Alpha Innovations,Display,Men 18-24,Men,18-24,45 days,Instagram,0.04,13154,5.69,Chicago,Spanish,394,7139,2,Health & Wellness,18/09/21
262,Alpha Innovations,Email,Men 18-24,Men,18-24,60 days,Google Ads,0.04,9005,3.35,Los Angeles,Mandarin,536,7663,4,Foodies,19/09/21
263,TechCorp,Search,All Ages,All,All Ages,30 days,Google Ads,0.12,13481,6.44,Chicago,Mandarin,143,5377,8,Tech Enthusiasts,20/09/21
264,TechCorp,Social Media,Men 18-24,Men,18-24,45 days,Email,0.05,9957,3.16,Houston,French,426,4894,10,Health & Wellness,21/09/21
265,DataTech Solutions,Social Media,Women 25-34,Women,25-34,45 days,Facebook,0.07,12840,3.29,Houston,French,295,9944,9,Foodies,22/09/21
266,Alpha Innovations,Display,All Ages,All,All Ages,30 days,Website,0.07,18572,7.1,Chicago,French,661,8775,2,Foodies,23/09/21
267,NexGen Systems,Social Media,Men 18-24,Men,18-24,15 days,Website,0.07,7981,4.52,Houston,German,441,9476,7,Outdoor Adventurers,24/09/21
268,TechCorp,Search,Women 25-34,Women,25-34,30 days,Google Ads,0.03,13134,7.66,Houston,Mandarin,983,3980,4,Outdoor Adventurers,25/09/21
269,Alpha Innovations,Email,Women 25-34,Women,25-34,45 days,Email,0.09,17232,3.77,Houston,French,354,9225,3,Health & Wellness,26/09/21
270,Alpha Innovations,Social Media,Men 18-24,Men,18-24,45 days,Google Ads,0.03,18883,3.54,New York,Mandarin,570,9730,9,Fashionistas,27/09/21
271,Innovate Industries,Display,Men 25-34,Men,25-34,15 days,Instagram,0.03,14168,3.39,New York,English,676,4287,1,Health & Wellness,28/09/21
272,Innovate Industries,Search,Men 25-34,Men,25-34,30 days,Email,0.09,8078,4.65,Miami,Spanish,741,5040,2,Foodies,29/09/21
273,TechCorp,Search,Women 35-44,Women,35-44,15 days,Instagram,0.06,19023,7.62,Los Angeles,German,274,4451,7,Tech Enthusiasts,30/09/21
274,DataTech Solutions,Social Media,All Ages,All,All Ages,45 days,Facebook,0.08,12970,7.25,Los Angeles,French,860,6750,6,Foodies,10/01/21
275,Alpha Innovations,Influencer,Women 35-44,Women,35-44,60 days,Email,0.06,8786,7.56,Houston,Mandarin,397,6102,8,Foodies,10/02/21
276,NexGen Systems,Influencer,All Ages,All,All Ages,60 days,Google Ads,0.07,14623,3.05,Los Angeles,English,449,7339,1,Fashionistas,10/03/21
277,DataTech Solutions,Email,Men 25-34,Men,25-34,15 days,Instagram,0.08,6326,5.2,Miami,French,461,7818,2,Health & Wellness,10/04/21
278,DataTech Solutions,Email,All Ages,All,All Ages,30 days,Website,0.03,18728,5.48,Houston,Mandarin,831,9026,10,Health & Wellness,10/05/21
279,DataTech Solutions,Email,Men 18-24,Men,18-24,30 days,Email,0.14,12494,7.56,Miami,German,631,9863,10,Fashionistas,10/06/21
280,NexGen Systems,Display,Men 25-34,Men,25-34,60 days,Instagram,0.02,11640,6.62,Los Angeles,German,560,1229,8,Health & Wellness,10/07/21
281,NexGen Systems,Search,Women 25-34,Women,25-34,60 days,Instagram,0.01,8340,3.9,Houston,Mandarin,570,8066,5,Health & Wellness,10/08/21
282,Alpha Innovations,Display,Women 25-34,Women,25-34,60 days,Email,0.11,10909,6.21,Los Angeles,French,921,2726,2,Outdoor Adventurers,10/09/21
283,DataTech Solutions,Email,All Ages,All,All Ages,60 days,YouTube,0.05,12008,3.01,New York,Mandarin,262,8773,5,Tech Enthusiasts,10/10/21
284,NexGen Systems,Email,Women 25-34,Women,25-34,45 days,Instagram,0.15,15178,7.68,Chicago,English,294,9365,4,Health & Wellness,10/11/21
285,Innovate Industries,Search,Women 35-44,Women,35-44,30 days,YouTube,0.02,8493,6.92,Houston,Spanish,257,7802,1,Health & Wellness,10/12/21
286,TechCorp,Email,Women 35-44,Women,35-44,45 days,YouTube,0.06,11813,6.03,Miami,German,441,6520,6,Fashionistas,13/10/21
287,Alpha Innovations,Influencer,All Ages,All,All Ages,45 days,Instagram,0.14,11491,7.08,Chicago,Spanish,433,8276,7,Outdoor Adventurers,14/10/21
288,Innovate Industries,Email,Men 18-24,Men,18-24,60 days,Google Ads,0.05,13976,5.28,Chicago,German,554,8163,4,Outdoor Adventurers,15/10/21
289,Alpha Innovations,Search,Men 25-34,Men,25-34,30 days,Google Ads,0.02,6300,4.47,Houston,French,704,4780,4,Outdoor Adventurers,16/10/21
290,TechCorp,Search,Women 35-44,Women,35-44,60 days,Instagram,0.04,9263,5.88,Houston,Spanish,399,8595,4,Health & Wellness,17/10/21
291,DataTech Solutions,Display,Men 25-34,Men,25-34,15 days,Facebook,0.05,6609,2.27,New York,German,664,4193,4,Foodies,18/10/21
292,Innovate Industries,Search,Women 35-44,Women,35-44,60 days,Website,0.04,5037,4.3,Los Angeles,English,784,9745,1,Tech Enthusiasts,19/10/21
293,Innovate Industries,Email,Men 25-34,Men,25-34,15 days,Facebook,0.04,18537,2.25,Chicago,Mandarin,697,5523,6,Outdoor Adventurers,20/10/21
294,TechCorp,Social Media,Women 25-34,Women,25-34,30 days,Website,0.12,14238,4.53,New York,English,552,1050,6,Foodies,21/10/21
295,DataTech Solutions,Display,Men 18-24,Men,18-24,60 days,Website,0.05,14949,2.09,Los Angeles,German,200,2467,8,Tech Enthusiasts,22/10/21
296,Innovate Industries,Influencer,Women 25-34,Women,25-34,45 days,YouTube,0.06,6243,5.09,Houston,German,924,5798,8,Health & Wellness,23/10/21
297,Alpha Innovations,Display,All Ages,All,All Ages,30 days,Instagram,0.05,12470,7.2,Los Angeles,Spanish,247,4962,10,Outdoor Adventurers,24/10/21
298,TechCorp,Display,Men 25-34,Men,25-34,15 days,Google Ads,0.06,14236,5.67,Chicago,English,801,3054,4,Fashionistas,25/10/21
299,DataTech Solutions,Display,Men 25-34,Men,25-34,60 days,Email,0.02,18677,3.71,Los Angeles,Mandarin,334,1647,1,Foodies,26/10/21
300,Innovate Industries,Social Media,All Ages,All,All Ages,60 days,Email,0.06,17986,7.99,Chicago,German,199,8846,10,Tech Enthusiasts,27/10/21
301,Alpha Innovations,Social Media,Women 25-34,Women,25-34,15 days,Google Ads,0.07,11553,6.05,New York,Mandarin,420,3838,1,Health & Wellness,28/10/21
302,Alpha Innovations,Display,Women 25-34,Women,25-34,60 days,Website,0.02,10856,6.46,Houston,French,406,6117,6,Fashionistas,29/10/21
303,Innovate Industries,Email,Men 18-24,Men,18-24,30 days,Google Ads,0.12,14564,6.35,Houston,Mandarin,771,3901,2,Foodies,30/10/21
304,TechCorp,Email,Men 25-34,Men,25-34,30 days,Facebook,0.03,7215,6.82,New York,Spanish,586,7959,2,Health & Wellness,31/10/21
305,DataTech Solutions,Search,Women 25-34,Women,25-34,15 days,Google Ads,0.1,14291,2.94,Los Angeles,German,872,6875,7,Tech Enthusiasts,11/01/21
306,DataTech Solutions,Display,Men 18-24,Men,18-24,15 days,YouTube,0.09,5189,4.71,Miami,English,845,2395,9,Health & Wellness,11/02/21
307,Alpha Innovations,Display,Women 25-34,Women,25-34,30 days,YouTube,0.03,8249,6.02,New York,English,566,9149,10,Tech Enthusiasts,11/03/21
308,Innovate Industries,Email,Men 18-24,Men,18-24,45 days,Facebook,0.14,14830,7.55,Los Angeles,Spanish,858,8551,1,Tech Enthusiasts,11/04/21
309,Innovate Industries,Display,Women 35-44,Women,35-44,30 days,Website,0.1,5187,5.4,Miami,Mandarin,254,2409,8,Health & Wellness,11/05/21
310,NexGen Systems,Display,All Ages,All,All Ages,30 days,Website,0.12,6813,5.59,Houston,Spanish,803,2031,3,Foodies,11/06/21
311,Innovate Industries,Search,All Ages,All,All Ages,60 days,Instagram,0.04,15776,3,Houston,Spanish,325,5452,3,Outdoor Adventurers,11/07/21
312,Innovate Industries,Social Media,Men 18-24,Men,18-24,15 days,Instagram,0.06,7059,2.34,Los Angeles,Mandarin,695,4167,4,Tech Enthusiasts,11/08/21
313,DataTech Solutions,Influencer,Women 25-34,Women,25-34,45 days,Instagram,0.11,5829,7.9,Chicago,German,195,8154,9,Tech Enthusiasts,11/09/21
314,TechCorp,Display,All Ages,All,All Ages,45 days,Google Ads,0.09,8756,4.02,Houston,French,513,6124,9,Health & Wellness,11/10/21
315,TechCorp,Email,All Ages,All,All Ages,60 days,Website,0.14,13515,5.54,Los Angeles,Spanish,645,1813,2,Health & Wellness,11/11/21
316,NexGen Systems,Social Media,Women 35-44,Women,35-44,60 days,Website,0.1,11573,3.89,Chicago,German,439,1258,1,Foodies,11/12/21
317,NexGen Systems,Social Media,Women 25-34,Women,25-34,45 days,Instagram,0.02,18073,4.1,New York,English,737,7217,5,Outdoor Adventurers,13/11/21
318,Innovate Industries,Social Media,Men 18-24,Men,18-24,45 days,Website,0.06,10446,2.69,Chicago,French,568,2153,8,Tech Enthusiasts,14/11/21
319,Innovate Industries,Influencer,Women 25-34,Women,25-34,45 days,Email,0.15,10042,4.24,Los Angeles,English,458,5007,7,Fashionistas,15/11/21
320,Alpha Innovations,Email,Men 25-34,Men,25-34,45 days,YouTube,0.05,16416,7.45,New York,French,233,6820,1,Fashionistas,16/11/21
321,TechCorp,Search,Men 18-24,Men,18-24,45 days,Email,0.13,15863,2.46,New York,German,652,3790,8,Health & Wellness,17/11/21
322,DataTech Solutions,Display,Women 25-34,Women,25-34,30 days,Email,0.02,5720,3.2,Chicago,English,568,5613,6,Foodies,18/11/21
323,TechCorp,Email,Men 18-24,Men,18-24,30 days,Website,0.09,18371,7.02,Chicago,Spanish,515,1957,1,Fashionistas,19/11/21
324,NexGen Systems,Email,Men 25-34,Men,25-34,60 days,Instagram,0.08,9735,3.15,Chicago,French,730,1745,5,Outdoor Adventurers,20/11/21
325,TechCorp,Display,All Ages,All,All Ages,60 days,Email,0.06,14549,3.11,Houston,German,619,4159,1,Health & Wellness,21/11/21
326,Innovate Industries,Influencer,Women 25-34,Women,25-34,15 days,Email,0.13,15540,2.51,Los Angeles,Spanish,946,5454,2,Foodies,22/11/21
327,Alpha Innovations,Email,Men 25-34,Men,25-34,30 days,Email,0.03,6398,6.12,New York,German,326,7358,4,Fashionistas,23/11/21
328,TechCorp,Influencer,Men 25-34,Men,25-34,30 days,YouTube,0.01,8212,5.22,Miami,German,800,6207,9,Health & Wellness,24/11/21
329,DataTech Solutions,Display,All Ages,All,All Ages,30 days,Facebook,0.08,10423,5.32,Los Angeles,English,259,7752,7,Fashionistas,25/11/21
330,Innovate Industries,Influencer,Women 35-44,Women,35-44,30 days,Instagram,0.1,6841,6.4,Houston,Mandarin,517,1438,9,Health & Wellness,26/11/21
331,Innovate Industries,Search,Women 35-44,Women,35-44,30 days,Email,0.12,12716,5.92,Houston,Spanish,130,3442,1,Foodies,27/11/21
332,NexGen Systems,Influencer,Men 18-24,Men,18-24,30 days,Instagram,0.06,7710,2.28,Chicago,English,602,2757,8,Outdoor Adventurers,28/11/21
333,Innovate Industries,Display,Women 35-44,Women,35-44,30 days,Google Ads,0.13,18752,5.27,Houston,English,474,8594,7,Foodies,29/11/21
334,NexGen Systems,Influencer,Women 25-34,Women,25-34,60 days,Instagram,0.04,11848,4.99,Los Angeles,English,563,5704,7,Fashionistas,30/11/21
335,Innovate Industries,Search,Women 35-44,Women,35-44,15 days,YouTube,0.05,5040,7.66,New York,English,285,1599,2,Tech Enthusiasts,12/01/21
336,Innovate Industries,Social Media,All Ages,All,All Ages,15 days,Facebook,0.07,19395,4.14,Los Angeles,English,282,6235,9,Foodies,12/02/21
337,DataTech Solutions,Influencer,Men 25-34,Men,25-34,60 days,Website,0.02,6130,3.92,Houston,French,497,2308,8,Foodies,12/03/21
338,Alpha Innovations,Social Media,Women 35-44,Women,35-44,15 days,Email,0.02,11045,7.34,New York,French,577,3950,8,Health & Wellness,12/04/21
339,TechCorp,Display,Men 18-24,Men,18-24,30 days,Website,0.08,8527,4.39,Chicago,German,902,2391,2,Foodies,12/05/21
340,DataTech Solutions,Display,Women 25-34,Women,25-34,30 days,Website,0.13,9037,2.59,Miami,Spanish,443,5607,7,Tech Enthusiasts,12/06/21
341,Innovate Industries,Influencer,Women 25-34,Women,25-34,30 days,Facebook,0.01,9524,4.16,Chicago,German,199,7575,4,Outdoor Adventurers,12/07/21
342,DataTech Solutions,Search,Men 25-34,Men,25-34,15 days,Instagram,0.07,5467,4.25,Miami,German,531,3279,5,Foodies,12/08/21
343,DataTech Solutions,Social Media,Women 35-44,Women,35-44,30 days,Email,0.02,10894,2.15,Chicago,English,788,2068,6,Health & Wellness,12/09/21
344,Innovate Industries,Display,All Ages,All,All Ages,60 days,Email,0.02,8583,5.82,Los Angeles,German,480,2818,9,Foodies,12/10/21
345,Alpha Innovations,Email,All Ages,All,All Ages,60 days,Website,0.03,16700,5.59,Houston,German,819,8035,1,Outdoor Adventurers,12/11/21
346,TechCorp,Email,Women 35-44,Women,35-44,30 days,Google Ads,0.13,16452,6.59,Miami,French,747,1720,3,Outdoor Adventurers,12/12/21
347,Innovate Industries,Email,All Ages,All,All Ages,30 days,YouTube,0.1,15069,7.77,Los Angeles,French,471,9996,6,Tech Enthusiasts,13/12/21
348,DataTech Solutions,Display,Men 18-24,Men,18-24,30 days,Website,0.03,13272,7.41,Miami,French,363,4534,3,Foodies,14/12/21
349,TechCorp,Email,Men 18-24,Men,18-24,15 days,Facebook,0.07,19675,4.13,Miami,English,388,6982,2,Outdoor Adventurers,15/12/21
350,TechCorp,Email,Men 18-24,Men,18-24,60 days,Website,0.04,10541,5.55,Chicago,English,512,7904,1,Foodies,16/12/21
351,Alpha Innovations,Social Media,Women 35-44,Women,35-44,45 days,Email,0.13,10946,4.63,Miami,Spanish,942,1368,6,Fashionistas,17/12/21
352,NexGen Systems,Influencer,Men 25-34,Men,25-34,15 days,Instagram,0.08,8298,7.59,Los Angeles,English,206,6491,6,Tech Enthusiasts,18/12/21
353,DataTech Solutions,Social Media,Women 25-34,Women,25-34,15 days,YouTube,0.13,15499,2.4,Los Angeles,English,995,9222,10,Health & Wellness,19/12/21
354,Innovate Industries,Search,Men 18-24,Men,18-24,30 days,YouTube,0.03,16232,3.75,New York,German,453,8552,5,Outdoor Adventurers,20/12/21
355,TechCorp,Influencer,Women 35-44,Women,35-44,15 days,Website,0.04,7495,5.4,New York,French,978,8369,4,Tech Enthusiasts,21/12/21
356,NexGen Systems,Email,Women 25-34,Women,25-34,45 days,Facebook,0.06,11373,6.38,Houston,French,988,9052,10,Foodies,22/12/21
357,Innovate Industries,Social Media,All Ages,All,All Ages,15 days,YouTube,0.11,13928,3.44,New York,French,150,5057,9,Foodies,23/12/21
358,DataTech Solutions,Email,Men 25-34,Men,25-34,15 days,Google Ads,0.12,13130,3.46,Chicago,German,474,5089,9,Health & Wellness,24/12/21
359,NexGen Systems,Email,All Ages,All,All Ages,60 days,Instagram,0.08,17853,4.05,Los Angeles,Spanish,639,6050,3,Tech Enthusiasts,25/12/21
360,DataTech Solutions,Social Media,Men 25-34,Men,25-34,15 days,Google Ads,0.1,15918,4.28,Miami,Spanish,699,8981,4,Foodies,26/12/21
361,DataTech Solutions,Search,Women 25-34,Women,25-34,45 days,Instagram,0.13,10476,3,Miami,English,647,5774,8,Outdoor Adventurers,27/12/21
362,TechCorp,Influencer,Men 25-34,Men,25-34,60 days,Facebook,0.03,14552,4.45,Los Angeles,English,171,4499,2,Fashionistas,28/12/21
363,Innovate Industries,Social Media,Women 25-34,Women,25-34,15 days,Facebook,0.03,5487,7.73,New York,Spanish,290,6655,5,Foodies,29/12/21
364,NexGen Systems,Social Media,All Ages,All,All Ages,30 days,Google Ads,0.08,19702,7.57,Chicago,French,710,3708,2,Foodies,30/12/21
